"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","264683520.833333","306058062.5","320794166.666667","369253354.166667","450302083.333333","535034791.666667","834008187.5","812754145.833333","896353333.333333","1122779562.5","1202978125","","","318518185.323223","580918578.960582","615303717.890942","411558202.020202","491170058.177117","647561970.899471","978098764.78318","1113864967.70026","889228886.168911","821107784.431138","758796296.296296","822040000","897961538.461538","914766666.666667","1006709677.41935","1107115349.13092","1195576398.47828","1280759800.56171","1280504201.68067","1411432360.74271","1643015873.01587","1648977556.10973","1756567164.1791","2195378973.10513","2365409836.06557","2562048458.14978","2583839434.27621","2654144305.3071","2616234247.59081","2748598293.57479","3085129533.67876","3368965517.24138","3599013299.61279","3905744448.20207","4266751254.20628","4745217446.74402","5219823416.80231","5850609266.34791","6555697847.07902","6717985185.81144","7674144123.85468","9227858782.25908","10546191845.4847","15556209048.7634","17689543597.0746","19150542871.7885","21910495866.4989","22331087732.5078","24488214905.2966","26222902907.7734","24780320479.432","",
"Bulgaria","BGR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","2717692307.69231","2927857142.85714","2903333333.33333","2566722222.22222","2662166666.66667","2843578947.36842","3431823529.41177","4741461538.46154","3682000000","3635722222.22222","3752272727.27273","2082903225.80645","2104896907.21649","2042473001.37711","1666918819.18819","2914844203.59977","1702730354.32208","1374136308.25999","2757485693.25103","2671841976.38352","2620734007.60617","2747114488.52661","3145800984.60501","4252375769.17439","5064638701.19465","5422226711.46593","6239015511.77573","7415092372.28831","9343342430.01921","8708450037.39269","8376791161.11977","9151313785.49569","8572619063.25954","9540998845.65764","9621413530.77028","8175213864.30678","8412413832.13538","9243173337.95414","10898880502.3851","11511582622.6318","13653752847.0478","15942487150.0272","16568542586.4111","18864101469.7232","",
"Bahrain","BHR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","400371451.313346","501595744.680851","620478723.404255","676861702.12766","803723670.212766","831914893.617021","830850797.87234","826861702.12766","902127659.574468","948669946.808511","1024202127.65957","1079787234.04255","1133510638.29787","1158244680.85106","1170212765.95745","1219414893.61702","1234840425.53191","1236968085.10638","1284042553.19149","1378191489.3617","1468989361.70213","1549335106.38298","1695079787.23404","1917712765.95745","2030186170.21277","2244680851.06383","2352180851.06383","2629281914.89362","2903537234.04255","3206356382.97872","3321117021.2766","3981515957.44681","4748404255.31915","5060611702.12766","5383882978.7234","5491382978.7234","5515744680.85106","5898031914.89362","6156436170.21277","6064654255.31915","5933138297.87234","6211117021.2766","6361170212.76596","6750398936.17021","",
"Bahamas, The","BHS","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","109300000","128400000","143800000","167000000","197300000","208900000","238000000","264000000","289100000","300100000","326400000","","415270000","407120000","440580000","427270000","397990000","482680000","476200000","516870000","635500000","650800000","705500000","747400000","802400000","846300000","862300000","907700000","959200000","1041000000","1072200000","1177300000","1265000000","1263700000","1385600000","1403100000","1229600000","1240400000","1345700000","1273400000","1457600000","1441000000","1636800000","1840600000","1681200000","1747600000","1858000000","",
"Bosnia and Herzegovina","BIH","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1369772335.43427","1357659151.01159","1576920174.96162","1937630385.9586","2224915484.61518","2430443333.27823","2698376726.66817","3326231925.33536","4220374536.77213","4132501379.72329","3972383154.7869","4304951536.56489","4025100807.37875","4149522861.05505","4242720271.55638","3604003874.13155","3579055153.46927","3695574329.83376","4026623656.82248","3965222089.81126","4196972573.77823","4592866136.18964","4578638711.01679","5277365779.29619","",
"Belarus","BLR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4136546184.73896","4089979550.10225","2577794144.72473","3007170946.10224","3062987612.94242","2871349985.65936","3032769230.76923","2871610169.49153","3023672230.6525","2367400722.02166","2480937639.44668","2662805755.39568","3069204654.59094","3810956139.36732","4767898308.53694","6279261962.46669","7099405006.15511","8386500037.27727","10039271671.9715","8190615993.26901","9169349775.55892","8306024769.68136","8911405918.26698","10143208653.1044","10840073942.9387","8423966108.22938","7470484724.53499","8566288990.25121","9448824307.71768","10848639653.3484","10411649570.1095","11716348094.9708","12710635543.2009","12974578948.2435","",
"Belize","BLZ","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","30598844","32356136","34214348.5","36179279","38257055","40454157.5","42777439.5","45234148","47831945","50578934","44500000","49500000","91000000","95500000","103000000","110500000","117500000","132500000","143000000","150500000","163000000","176000000","192000000","202500000","209500000","214500000","217500000","245000000","256500000","272500000","285500000","298500000","307000000","335000000","347500000","377000000","406000000","426500000","445000000","448000000","354000000","404000000","450000000","482906700","",
"Bermuda","BMU","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916649000","886595000","899708000","882953000","823230000","832027000","837000000","830432000","847486000","909874000","876402000","898546000","930899000","975400000","",
"Bolivia","BOL","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","32250000","37500000","41000000","46083333.3333333","51166666.6666667","68916666.6666667","77000000","81416666.6666667","89833333.3333333","96166666.6666667","97666666.6666667","112083333.333333","130692307.692308","124500000","197400000","252150000","296450000","378700000","477050000","679600000","616000000","768000000","660937500","488793103.448276","821109693.877551","567910296.821346","374061764.096822","483740905.662214","523507791.963551","563118316.681422","572207775.834082","645184560.834361","726394219.02276","766754363.279683","811526718.76329","911423394.416481","985811131.964375","1101957117.44646","1208247786.39644","1226014932.19334","1220989361.76062","1280182723.65159","1262339191.07392","1335304674.7773","1426434828.62903","1525430129.34937","1643824461.40398","1844510392.93768","2213906139.28285","2550498675.21368","2717796212.9313","3301429530.67928","3640055426.91751","4243716787.26483","4852764757.31533","5773469891.90145","5925527409.49074","6384586055.25203","7060670022.26667","7419676048.60946","7230230964.41977","7813323582.17848","8401144251.34346","8704977275.27401","",
"Brazil","BRA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","2138974629.37547","2231397941.40397","2326350972.23237","2966120462.55023","2484615117.43754","2369143212.96947","3017566424.24558","3529668109.99594","3771368224.9048","4051070562.89625","4793453718.79043","5423630148.39019","6294656311.57992","8281010087.40018","10243651651.0189","13159614701.0133","16062972517.3168","16622737159.8975","19388031460.2157","21913453012.1884","21617804789.319","24559797774.6854","28184385846.1171","19640729543.5582","17317201192.8317","22002971174.8722","28621223120.8547","35771188672.7213","41542363257.608","64010014333.6421","89700686337.2258","61313068181.8182","55999436763.9529","65055189800.6636","93861019672.506","161005442824.031","167966249427.918","172536930886.315","173351340738.654","118625327396.326","123013513113.151","108319286509.547","100988722395.127","106496922769.478","123601586191.878","168429645003.471","210880097291.12","264655224138.161","319488801739.807","327575442326.505","420051533827.073","488416927312.953","456809257583.833","467176911342.714","470419286028.784","356420263373.996","365949715737.317","416043923131.903","381375681758.158","374350071200.929","297216449690.69","309864802505.413","359197195955.825","396016091887.281","",
